serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_(%),hook_rate_(%),hold_rate_(%),frequency,reach,results,result_rate_(%),cpr,cpc,ctr
51,ad_id_100,ad_set_090,114.04,1.16,36.54,40.63,14.84,1.01,2929,3,10.12,38.01,0.93,4.15
56,ad_id_1482,ad_set_049,11.17,3.04,52.28,41.92,21.92,1.11,396,1,22.83,11.17,0.45,5.71
62,ad_id_1353,ad_set_027,41.5,2,41.54,43.58,18.1,1.21,1055,2,15.67,20.75,0.88,3.68
68,ad_id_1597,ad_set_012,557.75,1.64,49.69,43.32,21.53,1.45,9997,19,13.14,29.36,0.95,4.08
69,ad_id_46,ad_set_063,143.12,1.26,59.06,48.58,28.69,1.2,3371,3,7.41,47.71,1.01,3.51
76,ad_id_865,ad_set_049,31.73,1.5,38.84,38.97,15.14,1.21,832,1,9.96,31.73,1.02,3.09
77,ad_id_1269,ad_set_071,35.84,1.23,36.54,40.9,14.94,1.12,873,1,10.24,35.84,1.43,2.56
83,ad_id_580,ad_set_018,28.58,2.24,42.19,40.51,17.09,1.18,867,1,9.77,28.58,0.92,3.03
87,ad_id_367,ad_set_062,121.94,0.71,41.32,37.95,15.68,1.39,2361,2,6.09,60.97,1.1,3.38
88,ad_id_1550,ad_set_014,64.47,0.74,58.33,47.62,27.78,1.17,1324,1,6.46,64.47,1.29,3.23
89,ad_id_92,ad_set_070,13.21,6.93,53.51,45.7,24.46,1.08,381,2,48.43,6.61,0.88,3.63
93,ad_id_666,ad_set_105,25.98,1.69,55.29,46.77,25.86,1.18,664,1,12.74,25.98,1.13,2.93
96,ad_id_1618,ad_set_065,29.65,1.48,57.97,43.98,25.49,1.15,750,1,11.64,29.65,1.1,3.14
101,ad_id_1453,ad_set_110,16.17,2.97,51.06,46.63,23.81,1.13,335,1,26.46,16.17,1.62,2.65
102,ad_id_494,ad_set_021,15.42,4.15,54.29,44.98,24.42,1.12,344,1,25.97,15.42,1.1,3.64
105,ad_id_1378,ad_set_056,1618.66,1.45,32.58,45.39,14.79,1.7,22759,50,12.92,32.37,0.98,4.25
